Manufacturer,Model,Description,Transmission,Vehicle_Type,Engine_Capacity,Fuel_Type,Powertrain,Engine_PowerPS,Engine_Power,Emissions_CO2,THC0Emissions0[mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined
ABARTH,595 MY22,1.4 Tjet 165 hp Manual (VL),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,1.4 Tjet 165 hp Manual (VH),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,1.4 Tjet 165 hp Manual  Convertible (VL),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,1.4 Tjet 165 hp Manual  Convertible (VH),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp Manual (VL),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp Manual (VH),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp Manual Convertible (VL),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp Manual Convertible (VH),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp MTA Convertible (VL),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,595 MY22,Turismo 1.4 Tjet 165 hp MTA Convertible (VH),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,121,688,66,28,,,60,60
ABARTH,695 MY22,1.4 Tjet 180 hp Manual (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,1.4 Tjet 180 hp Manual Convertible (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp Manual (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp MTA (VL),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp MTA (VH),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp Manual Convertible (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp MTA Convertible (VL),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Turismo 1.4 Tjet 180 hp MTA Convertible (VH),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp Manual (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp MTA (VL),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp MTA (VH),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp Manual Convertible (VH only),M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp MTA Convertible (VL),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Competizione 1.4 Tjet 180 hp MTA Convertible (VH),SA5,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,904,55,20,,,60,60
ABARTH,695 MY22,Tributo 131 Rally 1.4 Tjet 180 hp Manual(VH only),SA7,Manual,1368,Petrol,Internal Combustion Engine (ICE),179,132,657,66,21,,,60,60
